,Unnamed: 0,cty_name,iso3numeric,id,year,eiacty,oil_prod32_14,oil_price_2000,oil_value_nom,oil_value_2000,oil_value_2014,gas_prod55_14,gas_price_2000_mboe,gas_price_2000,gas_price_nom,gas_value_nom,gas_value_2000,gas_value_2014,oil_gas_value_nom,oil_gas_value_2000,oil_gas_value_2014,oil_gas_valuePOP_nom,oil_gas_valuePOP_2000,oil_gas_valuePOP_2014,oil_exports,net_oil_exports,net_oil_exports_mt,net_oil_exports_value,net_oil_exports_valuePOP,gas_exports,net_gas_exports_bcf,net_gas_exports_mboe,net_gas_exports_value,net_gas_exports_valuePOP,net_oil_gas_exports_valuePOP,population,pop_maddison,sovereign,mult_nom_2000,mult_nom_2014,mult_2000_2014,oil_price_nom
0,1,Syrian Arab Republic,760,SYR,2001,Syria,24100000.0,23.698,4318124679.0,4198650874.0,5772194038.0,47.03705957,20814444.2,3.844696203,4.0,1006909405.0,979050251.9,1345972360.0,5325034085.0,5177701126.0,7118166398.0,308.8261177,300.2815215,412.8190841,367.32194,250.74194,12486948.61,2168860110.0,125.7833541,0.0,0.0,0.0,0.0,0.0,125.7833541,17242823.0,16728808.0,1,0.972332016,1.336736307,1.374773519,
1,2,United Kingdom,826,GBR,1941,United Kingdom,30464.0,13.17518,254563.2768,2975573.85,4090740.134,,0.0,,0.05,,,,254563.2768,2975573.85,4090740.134,0.005279643,0.061713412,0.084841964,,,,,,,,,,,,48216000.0,48216000.0,1,11.688936,16.06963968,1.374773519,
2,3,Philippines,608,PHL,1989,Philippines,267000.0,24.86816,35670508.6,49535980.49,68100754.23,0.0,14010059.43,2.587838608,1.69,0.0,0.0,0.0,35670508.6,49535980.49,68100754.23,0.597471497,0.82971445,1.140669454,0.0,-194.77157,-9699624.186,-1767917857.0,-29.61215217,,,,,,,59702444.0,63554672.0,1,1.388709677,1.90916129,1.374773519,
3,4,Kyrgyz Republic,417,KGZ,1944,Kyrgyzstan,,11.71031,,,,,0.0,,0.05,,,,,,,,,,,,,,,,,,,,,,,0,9.78096,13.4466048,1.374773519,
4,5,Cape Verde,132,CPV,1988,Cape Verde,0.0,21.41834,0.0,0.0,0.0,0.0,14635548.34,2.703374473,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,336065.0,336065.0,1,1.455621302,2.00114962,1.374773519,
5,6,Qatar,634,QAT,1938,Qatar,,13.66059,,,,,0.0,,0.05,,,,,,,,,,,,,,,,,,,,,,,0,12.214146,16.79168448,1.374773519,
6,7,Yemen Arab Rep. (North Yemen),886,,1974,,0.0,39.93295,0.0,0.0,0.0,0.0,13216605.45,2.441277426,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,7755019.0,7755019.0,1,3.493938,4.80337344,1.374773519,
7,8,Japan,392,JPN,1974,Japan,675000.0,39.93295,57294945.0,200184985.5,275209017.1,19.60121943,13216605.45,2.441277426,0.3,74146016.18,259061583.5,356151004.8,131440961.2,459246569.0,631360021.9,1.192431533,4.166281847,5.727693956,,,,,,,,,,,,110229357.0,110162302.0,1,3.493938,4.80337344,1.374773519,
8,9,Nigeria,566,NGA,1962,Nigeria,3363934.0,10.12409,44383745.2,252520785.7,347158889.2,3.256480174,17292025.89,3.194060127,0.16,9897400.169,56311139.49,77415063.41,54281145.37,308831925.2,424573952.6,1.268409344,7.216599744,9.921190226,,,,,,,,,,,,42794659.0,44033212.0,1,5.689488,7.82175744,1.374773519,
9,10,Paraguay,600,PRY,1969,Paraguay,0.0,8.347174,0.0,0.0,0.0,0.0,15188938.81,2.805592827,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,2412181.0,2412181.0,1,4.694172,6.45342336,1.374773519,
10,11,Pakistan,586,PAK,1988,Pakistan,2189000.0,21.41834,239458561.9,348560983.6,479192410.1,59.86244249,14635548.34,2.703374473,1.69,601887090.8,876119670.7,1204466123.0,841345652.7,1224680654.0,1683658533.0,8.197989267,11.93316781,16.4054031,2.81665,-73.2929,-3649986.42,-572981471.9,-5.583075091,,,,,,,102628294.0,108407786.0,1,1.455621302,2.00114962,1.374773519,
11,12,Rwanda,646,RWA,1942,Rwanda,,12.42108,,,,,0.0,,0.05,,,,,,,,,,,,,,,,,,,,,,,0,10.559304,14.51665152,1.374773519,
12,13,"Yemen, Dem. Rep. (South Yemen)",720,YMD,2003,,,26.54107,,,,,32052805.64,5.920566456,4.88,,,,,,,,,,,,,,,,,,,,,,,0,0.935869565,1.286608696,1.374773519,
13,14,"Venezuela, RB",862,VEN,2006,Venezuela,125000000.0,55.369,59700322394.0,50994025378.0,70105235725.0,349.6443419,31279493.27,5.77772569,6.39,12803938932.0,10936697838.0,15035482574.0,72504261326.0,61930723216.0,85140718300.0,2728.211295,2330.347148,3203.699549,2348.97,2348.97,116978706.0,47471943774.0,1786.288017,0.0,0.0,0.0,0.0,0.0,1786.288017,26575750.0,25641000.0,1,0.854166667,1.174285714,1.374773519,
14,15,"Venezuela, RB",862,VEN,1973,Venezuela,176000000.0,12.58577,4244363200.0,16452094012.0,22617903182.0,367.677397,13512777.25,2.495984177,0.22,1281748766.0,4968342766.0,6830346069.0,5526111966.0,21420436778.0,29448249251.0,465.5423476,1804.54549,2480.841354,,,,,,,,,,,,11870267.0,11893035.0,1,3.876222,5.32892736,1.374773519,
15,16,Belgium,56,BEL,1934,Belgium,,12.71579,,,,,0.0,,0.06,,,,,,,,,,,,,,,,,,,,,8262000.0,8262000.0,1,12.853008,17.66997504,1.374773519,
16,17,Kyrgyz Republic,417,KGZ,1945,Kyrgyzstan,,9.933396,,,,,0.0,,0.05,,,,,,,,,,,,,,,,,,,,,,,0,9.560544,13.14358272,1.374773519,
17,18,Australia,36,AUS,2001,Australia,32700000.0,23.698,5862313333.0,5700114940.0,7836367076.0,222.9213586,20814444.2,3.844696203,4.0,4772016250.0,4639984180.0,6378927380.0,10634329583.0,10340099120.0,14215294456.0,547.5727627,532.4225281,731.9603927,402.42045,-37.47591,-1866300.318,-324158002.0,-16.69123487,344.10936,344.10936,64.2817824,1337989573.0,68.89448377,52.2032489,19420852.0,19294000.0,1,0.972332016,1.336736307,1.374773519,
