,oil_price_2000
0,23.698
1,13.17518
2,24.86816
3,11.71031
4,21.41834
5,13.66059
6,39.93295
7,39.93295
8,10.12409
9,8.347174
10,21.41834
11,12.42108
12,26.54107
13,55.369
14,12.58577
15,12.71579
16,9.933396
17,23.698
18,8.797903
19,10.91287
20,13.9813
21,14.06798
22,20.3782
23,10.23677
24,11.71031
25,77.78562545
26,36.53513
27,12.37774
28,45.81844
29,10.91287
30,12.24772
31,47.25731
32,13.66059
33,9.708031
34,9.768706
35,12.03969
36,23.71533
37,11.81433
38,24.95484
39,11.47628
40,23.71533
41,12.03969
42,55.369
43,20.3782
44,12.14371
45,28.50001
46,27.45986
47,12.27372
48,39.93295
49,22.48449
50,11.47628
51,13.66059
52,36.53513
53,60.11999161
54,22.48449
55,9.994071
56,24.86816
57,12.03969
58,36.53513
59,30.875
60,19.09535
61,10.23677
62,24.86816
63,47.25731
64,14.06798
65,12.03969
66,67.14143
67,30.875
68,19.09535
69,9.864053
70,30.875
71,12.27372
72,12.71579
73,10.91287
74,9.708031
75,11.81433
76,74.01507
77,36.53513
78,10.23677
79,9.413322
80,8.815239
81,12.26506
82,7.879107
83,10.12409
84,39.93295
85,18.26323
86,43.43477
87,45.81844
88,21.41834
89,74.01507
90,85.17070839
91,24.95484
92,9.161955
93,10.08942
94,67.14143
95,49.50098024
96,12.07436
97,19.09535
98,10.08942
99,8.347174
100,10.08942
101,9.933396
102,8.797903
103,85.17070839
104,74.01507
105,47.25731
106,43.43477
107,12.08303
108,14.06798
109,10.12409
110,13.61725
111,55.369
112,23.38595
113,27.45986
114,8.797903
115,9.708031
116,9.161955
117,7.879107
118,26.54107
119,9.768706
120,34.29882
121,11.47628
122,22.48449
123,22.48449
124,10.95621
125,11.81433
126,12.07436
127,9.768706
128,49.50098024
129,49.50098024
130,10.23677
131,10.91287
132,12.07436
133,12.26506
134,23.38595
135,13.17518
136,11.47628
137,18.55794
138,12.26506
139,14.06798
140,11.71031
141,13.61725
142,49.50098024
143,12.24772
144,34.29882
145,55.369
146,12.71579
147,10.86086
148,11.47628
149,12.24772
150,9.933396
151,10.23677
152,83.75446549
153,22.48449
154,9.768706
155,47.25731
156,12.07436
157,34.29882
158,12.24772
159,12.37774
160,11.19891
161,9.864053
162,39.04015
163,11.19891
164,14.47537
165,13.61725
166,85.17070839
167,9.768706
168,22.48449
169,10.91287
170,10.23677
171,13.66059
172,12.03969
173,34.29882
174,77.78562545
175,9.994071
176,60.11999161
177,62.7780519
178,14.06798
179,11.47628
180,39.04015
181,13.61725
182,12.71579
183,20.01414
184,13.66059
185,85.17070839
186,11.71031
187,23.38595
188,39.04015
189,9.768706
190,9.413323
191,60.11999161
192,12.49909
193,10.86086
194,13.38321
195,60.11999161
196,13.38321
197,30.875
198,9.161955
199,71.97258787
200,74.01507
201,11.71031
202,36.53513
203,39.04015
204,22.21579
205,77.78562545
206,28.50001
207,30.875
208,58.02282
209,62.7780519
210,12.03969
211,67.14143
212,10.95621
213,13.38321
214,9.864053
215,12.03969
216,20.01414
217,39.93295
218,27.45986
219,10.86086
220,18.26323
221,27.45986
222,9.864053
223,55.369
224,10.08942
225,23.71533
226,24.86816
227,49.50098024
228,18.26323
229,23.71533
230,30.875
231,13.66059
232,45.81844
233,12.08303
234,8.815239
235,36.53513
236,13.66059
237,10.91287
238,8.815239
239,8.347174
240,13.17518
241,12.03969
242,58.02282
243,12.03969
244,13.9813
245,36.43979
246,10.12409
247,77.78562545
248,11.81433
249,58.02282
250,12.27372
251,62.7780519
252,83.75446549
253,60.11999161
254,13.38321
255,12.37774
256,20.3782
257,80.31953005
258,23.698
259,13.9813
260,20.3782
261,39.04015
262,7.879107
263,10.12409
264,80.31953005
265,14.47537
266,83.75446549
267,20.3782
268,10.91287
269,12.26506
270,80.31953005
271,27.45986
272,38.23404
273,47.25731
274,60.11999161
275,13.17518
276,11.47628
277,11.47628
278,24.86816
279,12.26506
280,8.797903
281,58.02282
282,9.994071
283,77.78562545
284,13.38321
285,9.994071
286,19.09535
287,18.26323
288,74.01507
289,12.71579
290,67.14143
291,24.86816
292,49.50098024
293,22.21579
294,20.01414
295,12.14371
296,80.31953005
297,10.23677
298,13.61725
299,19.09535
300,13.9813
301,74.01507
302,8.797903
303,13.61725
304,12.08303
305,11.47628
306,28.50001
307,8.797903
308,13.66059
309,12.58577
310,26.54107
311,43.43477
312,13.17518
313,10.12409
314,39.04015
315,10.86086
316,13.38321
317,12.70712
318,18.26323
319,12.08303
320,10.86086
321,13.66059
322,77.78562545
323,12.49909
324,19.09535
325,12.08303
326,85.17070839
327,38.23404
328,12.26506
329,50.38642
330,12.49909
331,10.95621
332,12.49909
333,26.54107
334,30.875
335,13.66059
336,12.49909
337,50.38642
338,71.97258787
339,12.49909
340,10.08942
341,19.09535
342,83.75446549
343,7.879107
344,21.41834
345,28.50001
346,12.58577
347,12.37774
348,60.11999161
349,9.708031
350,62.7780519
351,21.41834
352,9.864053
353,12.49909
354,12.27372
355,83.75446549
356,39.04015
357,34.29882
358,9.413323
359,34.29882
360,12.26506
361,39.04015
362,55.369
363,36.53513
364,13.61725
365,39.93295
366,11.71031
367,9.933396
368,10.86086
369,55.369
370,47.25731
371,49.50098024
372,13.9813
373,22.48449
374,12.03969
375,9.864053
376,45.81844
377,80.31953005
378,13.9813
379,36.53513
380,74.01507
381,9.413322
382,34.29882
383,45.81844
384,14.47537
385,28.50001
386,67.14143
387,9.933396
388,13.17518
389,8.797903
390,12.58577
391,49.50098024
392,28.50001
393,12.58577
394,19.09535
395,27.45986
396,9.413323
397,62.7780519
398,50.38642
399,10.12409
400,12.71579
401,12.03969
402,11.19891
403,36.53513
404,13.66059
405,8.347174
406,10.91287
407,9.413323
408,85.17070839
409,20.3782
410,62.7780519
411,9.708031
412,8.797903
413,20.3782
414,18.26323
415,12.27372
416,10.86086
417,12.70712
418,75.97401
419,9.864053
420,26.54107
421,12.07436
422,62.7780519
423,50.38642
424,58.02282
425,71.97258787
426,12.14371
427,12.49909
428,45.81844
429,85.17070839
430,11.47628
431,39.93295
432,12.42108
433,83.75446549
434,24.86816
435,9.768706
436,13.38321
437,23.698
438,23.71533
439,18.55794
440,13.9813
441,13.66059
442,12.07436
443,11.19891
444,12.58577
445,8.797903
446,27.45986
447,12.14371
448,9.994071
449,9.413323
450,71.97258787
451,50.38642
452,28.50001
453,12.71579
454,13.61725
455,11.81433
456,10.95621
457,39.93295
458,77.78562545
459,50.38642
460,12.49909
461,10.08942
462,12.26506
463,50.38642
464,10.12409
465,10.86086
466,23.38595
467,74.01507
468,36.43979
469,9.413323
470,13.66059
471,75.97401
472,85.17070839
473,58.02282
474,9.768706
475,24.95484
476,36.43979
477,13.61725
478,8.797903
479,10.12409
480,24.86816
481,23.698
482,45.81844
483,9.933396
484,10.86086
485,18.55794
486,62.7780519
487,12.71579
488,18.55794
489,9.413323
490,62.7780519
491,11.19891
492,10.91287
493,13.17518
494,9.161955
495,23.698
496,18.55794
497,13.61725
498,71.97258787
499,22.21579
500,12.26506
501,58.02282
502,14.06798
503,83.75446549
504,75.97401
505,71.97258787
506,85.17070839
507,85.17070839
508,8.347174
509,10.12409
510,9.413323
511,24.86816
512,12.24772
513,22.21579
514,12.49909
515,13.61725
516,12.14371
517,12.37774
518,8.797903
519,47.25731
520,10.86086
521,12.14371
522,9.933396
523,26.54107
524,47.25731
525,50.38642
526,12.21305
527,39.04015
528,12.71579
529,12.14371
530,12.70712
531,18.55794
532,45.81844
533,9.413323
534,24.95484
535,22.48449
536,12.70712
537,13.9813
538,9.413322
539,36.53513
540,13.38321
541,8.815239
542,12.14371
543,47.25731
544,14.06798
545,28.50001
546,8.815239
547,45.81844
548,8.797903
549,9.413322
550,9.864053
551,62.7780519
552,11.81433
553,14.47537
554,14.06798
555,27.45986
556,8.347174
557,12.24772
558,9.413322
559,24.95484
560,11.19891
561,14.06798
562,24.95484
563,28.50001
564,12.27372
565,39.04015
566,11.47628
567,30.875
568,26.54107
569,9.413323
570,12.26506
571,13.61725
572,71.97258787
573,9.161955
574,12.37774
575,9.994071
576,30.875
